X,Y,nesting,num_operands,extra
(-75*a*b*x*y-73*a*b*x*y),-48*a*b*x*y,1,2,no
-13*x*y,$,1,1,no
(+93*x-71*x),+22*x,1,2,no
(-35*a*b*x*y+35*a*b*x*y),+0*x*y*a*b,1,2,no
(-37*x*y+20*x*y),-17*x*y,1,2,no
(-53*a*y-57*a*y),-10*a*y,1,2,no
(-10*a*y-35*a*y),-45*a*y,1,2,no
+-15*b*x*y,$,1,1,no
(+18*y+65*y),+83*y,1,2,no
(-37*b*x-56*b*x),-93*b*x,1,2,no
(-89*a*b*x-67*a*b*x),-56*a*b*x,1,2,no
(+43*b*x*y+30*b*x*y),+73*b*x*y,1,2,no
(-44*b*x*y-55*b*x*y),-99*b*x*y,1,2,no
(+34*a*x*y+31*a*x*y),+65*a*x*y,1,2,no
(-44*a*b*x*y+15*a*b*x*y),-29*a*b*x*y,1,2,no
(+94*x-43*x),+51*x,1,2,no
(+29*x-3*x),+26*x,1,2,no
+14*x*y,$,1,1,no
(-x*y++95*x*y),+94*x*y,1,2,no
+-88*a*x*y,$,1,1,no
(-39*y-75*y),-14*y,1,2,no
(+47*y+22*y),+69*y,1,2,no
(-82*x*y-52*x*y),-34*x*y,1,2,no
(-64*a*x-3*a*x),-67*a*x,1,2,no
(+8*a*b*x*y+14*a*b*x*y),+22*a*b*x*y,1,2,no
(+35*a*b*x*y+68*a*b*x*y),+3*a*b*x*y,1,2,no
(+27*x*y+17*x*y),+44*x*y,1,2,no
(-31*a*x-92*a*x),-23*a*x,1,2,no
(+9*a*b*x*y-42*a*b*x*y),-33*a*b*x*y,1,2,no
+13*y,$,1,1,no
(-79*x*y++24*x*y),-55*x*y,1,2,no
(-72*a*b*x+-5*a*b*x),-77*a*b*x,1,2,no
(-36*x+76*x),+40*x,1,2,no
(+74*b*x*y+-12*b*x*y),+62*b*x*y,1,2,no
(-a*b*x*y+-32*a*b*x*y),-33*a*b*x*y,1,2,no
(-38*x*y+24*x*y),-14*x*y,1,2,no
(-84*x*y+49*x*y),-35*x*y,1,2,no
(-y+89*y),+88*y,1,2,no
+-35*a*b*x*y,$,1,1,no
39*a*x,$,1,1,no
(+29*a*b*y+18*a*b*y),+47*a*b*y,1,2,no
(+68*x-51*x),+17*x,1,2,no
(-31*a*x+-58*a*x),-89*a*x,1,2,no
(+39*b*x++98*b*x),+37*b*x,1,2,no
(+75*a*b*y+33*a*b*y),+8*a*b*y,1,2,no
(+61*y-98*y),-37*y,1,2,no
(+4*y+78*y),+82*y,1,2,no
(-27*a*b*x-14*a*b*x),-41*a*b*x,1,2,no
(+15*a*b*x*y++82*a*b*x*y),+97*a*b*x*y,1,2,no
9*b*x*y,$,1,1,no
(+35*x*y-85*x*y),-50*x*y,1,2,no
(-8*b*y+-49*b*y),-57*b*y,1,2,no
(-68*x+-70*x),-38*x,1,2,no
(-12*a*b*y+-61*a*b*y),-73*a*b*y,1,2,no
(+75*y+22*y),+97*y,1,2,no
(+43*y-y),+42*y,1,2,no
(-87*a*b*x*y-67*a*b*x*y),-54*a*b*x*y,1,2,no
(-25*x*y+65*x*y),+40*x*y,1,2,no
(+58*x*y+38*x*y),+96*x*y,1,2,no
(+14*b*y-3*b*y),+11*b*y,1,2,no
(+25*a*b*x*y-82*a*b*x*y),-57*a*b*x*y,1,2,no
(-30*x*y-70*x*y),+0*x*y,1,2,no
(-56*a*b*x-12*a*b*x),-68*a*b*x,1,2,no
(-77*a*y+6*a*y),-71*a*y,1,2,no
(-29*a*b*x-6*a*b*x),-35*a*b*x,1,2,no
+-54*b*x*y,$,1,1,no
(-57*a*x+27*a*x),-30*a*x,1,2,no
(-38*x*y-19*x*y),-57*x*y,1,2,no
(-79*x+14*x),-65*x,1,2,no
-2*a*b*x*y,$,1,1,no
(-92*x+71*x),-21*x,1,2,no
(+59*a*y-89*a*y),-30*a*y,1,2,no
(-12*x++75*x),+63*x,1,2,no
+5*b*y,$,1,1,no
(-59*a*b*x*y+17*a*b*x*y),-42*a*b*x*y,1,2,no
31*a*x*y,$,1,1,no
(+36*x*y-45*x*y),-9*x*y,1,2,no
(-2*y-23*y),-25*y,1,2,no
(+63*a*x*y+41*a*x*y),+4*a*x*y,1,2,no
(-20*x*y+30*x*y),+10*x*y,1,2,no
(+10*a*b*x*y-70*a*b*x*y),-60*a*b*x*y,1,2,no
(-68*x*y+22*x*y),-46*x*y,1,2,no
(-41*b*x*y-80*b*x*y),-21*b*x*y,1,2,no
(+89*x*y+60*x*y),+49*x*y,1,2,no
(+64*b*y+15*b*y),+79*b*y,1,2,no
(-84*y-75*y),-59*y,1,2,no
(-71*a*b*y-79*a*b*y),-50*a*b*y,1,2,no
(-78*a*x*y+-8*a*x*y),-86*a*x*y,1,2,no
(+34*x*y-2*x*y),+32*x*y,1,2,no
(+40*y-80*y),-40*y,1,2,no
(+82*x-61*x),+21*x,1,2,no
45*a*b*x*y,$,1,1,no
(+78*x*y+28*x*y),+6*x*y,1,2,no
(-22*b*x*y-74*b*x*y),-96*b*x*y,1,2,no
(+56*a*b*x-25*a*b*x),+31*a*b*x,1,2,no
(-41*x*y+-86*x*y),-27*x*y,1,2,no
(-39*b*x*y-86*b*x*y),-25*b*x*y,1,2,no
(-39*a*b*y-56*a*b*y),-95*a*b*y,1,2,no
+98*a*b*y,$,1,1,no
(+82*y-59*y),+23*y,1,2,no
(-97*x*y+97*x*y),+0*x*y,1,2,no
(+11*a*x*y++18*a*x*y),+29*a*x*y,1,2,no
(+60*y+17*y),+77*y,1,2,no
(+81*x*y+-11*x*y),+70*x*y,1,2,no
23*b*x*y,$,1,1,no
(-11*x*y++21*x*y),+10*x*y,1,2,no
(+89*x-22*x),+67*x,1,2,no
(-40*a*b*x*y-94*a*b*x*y),-34*a*b*x*y,1,2,no
(+20*a*x*y+8*a*x*y),+28*a*x*y,1,2,no
(+59*a*y+a*y),+60*a*y,1,2,no
(-95*a*x*y-20*a*x*y),-15*a*x*y,1,2,no
(+29*y+5*y),+34*y,1,2,no
(-9*a*x*y+27*a*x*y),+18*a*x*y,1,2,no
(+41*a*b*x++98*a*b*x),+39*a*b*x,1,2,no
(+4*a*x*y+-27*a*x*y),-23*a*x*y,1,2,no
+17*a*b*x*y,$,1,1,no
(+91*a*b*x*y+98*a*b*x*y),+89*a*b*x*y,1,2,no
(-43*a*b*y+-34*a*b*y),-77*a*b*y,1,2,no
-95*a*b*y,$,1,1,no
(-44*x+70*x),+26*x,1,2,no
(+77*x*y+-51*x*y),+26*x*y,1,2,no
(-77*a*b*y+-3*a*b*y),-80*a*b*y,1,2,no
80*b*y,$,1,1,no
(-19*x*y-97*x*y),-16*x*y,1,2,no
(+11*a*b*x+64*a*b*x),+75*a*b*x,1,2,no
(-91*x++49*x),-42*x,1,2,no
(+28*x+2*x),+30*x,1,2,no
(-82*a*b*x*y+31*a*b*x*y),-51*a*b*x*y,1,2,no
(+25*a*b*x*y+43*a*b*x*y),+68*a*b*x*y,1,2,no
(-12*a*b*y-64*a*b*y),-76*a*b*y,1,2,no
(-6*b*x+-51*b*x),-57*b*x,1,2,no
(-61*a*b*x*y++33*a*b*x*y),-28*a*b*x*y,1,2,no
(+34*y+-31*y),+3*y,1,2,no
(-74*x+3*x),-71*x,1,2,no
(-45*a*x*y-49*a*x*y),-94*a*x*y,1,2,no
(+69*x++57*x),+26*x,1,2,no
-y,$,1,1,no
(-79*x++41*x),-38*x,1,2,no
