X,Y,nesting,num_operands
-17,$,1,1
-18,$,1,1
40,$,1,1
89,$,1,1
9,$,1,1
-10,$,1,1
35,$,1,1
96,$,1,1
-28,$,1,1
-79,$,1,1
96,$,1,1
-35,$,1,1
9,$,1,1
-92,$,1,1
-76,$,1,1
30,$,1,1
-74,$,1,1
51,$,1,1
79,$,1,1
-18,$,1,1
-39,$,1,1
79,$,1,1
-97,$,1,1
-29,$,1,1
-13,$,1,1
-35,$,1,1
96,$,1,1
40,$,1,1
-15,$,1,1
-13,$,1,1
-28,$,1,1
-79,$,1,1
53,$,1,1
-49,$,1,1
66,$,1,1
25,$,1,1
85,$,1,1
-49,$,1,1
25,$,1,1
-12,$,1,1
-92,$,1,1
-10,$,1,1
12,$,1,1
7,$,1,1
-73,$,1,1
30,$,1,1
-52,$,1,1
68,$,1,1
-10,$,1,1
68,$,1,1
27,$,1,1
14,$,1,1
-74,$,1,1
66,$,1,1
-46,$,1,1
-6,$,1,1
81,$,1,1
87,$,1,1
-92,$,1,1
-76,$,1,1
-39,$,1,1
49,$,1,1
-6,$,1,1
12,$,1,1
40,$,1,1
-13,$,1,1
30,$,1,1
-10,$,1,1
14,$,1,1
-35,$,1,1
64,$,1,1
67,$,1,1
5,$,1,1
87,$,1,1
38,$,1,1
27,$,1,1
68,$,1,1
85,$,1,1
76,$,1,1
-97,$,1,1
29,$,1,1
68,$,1,1
40,$,1,1
14,$,1,1
-13,$,1,1
-49,$,1,1
22,$,1,1
-13,$,1,1
43,$,1,1
49,$,1,1
-39,$,1,1
-76,$,1,1
9,$,1,1
-69,$,1,1
62,$,1,1
10,$,1,1
85,$,1,1
29,$,1,1
-15,$,1,1
27,$,1,1
-52,$,1,1
9,$,1,1
-5,$,1,1
16,$,1,1
9,$,1,1
64,$,1,1
24,$,1,1
87,$,1,1
-76,$,1,1
24,$,1,1
76,$,1,1
44,$,1,1
24,$,1,1
22,$,1,1
66,$,1,1
-65,$,1,1
-17,$,1,1
24,$,1,1
-29,$,1,1
49,$,1,1
-46,$,1,1
-73,$,1,1
44,$,1,1
79,$,1,1
89,$,1,1
-29,$,1,1
64,$,1,1
-57,$,1,1
5,$,1,1
-28,$,1,1
70,$,1,1
38,$,1,1
53,$,1,1
-46,$,1,1
51,$,1,1
-28,$,1,1
22,$,1,1
-65,$,1,1
44,$,1,1
53,$,1,1
-39,$,1,1
-74,$,1,1
64,$,1,1
-97,$,1,1
-97,$,1,1
68,$,1,1
-63,$,1,1
85,$,1,1
85,$,1,1
7,$,1,1
24,$,1,1
-25,$,1,1
12,$,1,1
53,$,1,1
62,$,1,1
7,$,1,1
81,$,1,1
-25,$,1,1
-65,$,1,1
-35,$,1,1
5,$,1,1
-92,$,1,1
12,$,1,1
89,$,1,1
89,$,1,1
14,$,1,1
79,$,1,1
10,$,1,1
-49,$,1,1
-63,$,1,1
38,$,1,1
85,$,1,1
5,$,1,1
-57,$,1,1
12,$,1,1
-63,$,1,1
10,$,1,1
-65,$,1,1
22,$,1,1
14,$,1,1
5,$,1,1
-35,$,1,1
-49,$,1,1
14,$,1,1
81,$,1,1
-65,$,1,1
-15,$,1,1
81,$,1,1
-63,$,1,1
10,$,1,1
14,$,1,1
14,$,1,1
89,$,1,1
-13,$,1,1
66,$,1,1
81,$,1,1
24,$,1,1
-74,$,1,1
-65,$,1,1
-73,$,1,1
-29,$,1,1
-92,$,1,1
-10,$,1,1
22,$,1,1
14,$,1,1
-63,$,1,1
-18,$,1,1
64,$,1,1
38,$,1,1
14,$,1,1
-39,$,1,1
-49,$,1,1
-63,$,1,1
25,$,1,1
27,$,1,1
-18,$,1,1
50,$,1,1
29,$,1,1
-28,$,1,1
24,$,1,1
16,$,1,1
67,$,1,1
43,$,1,1
7,$,1,1
-13,$,1,1
64,$,1,1
70,$,1,1
35,$,1,1
30,$,1,1
50,$,1,1
76,$,1,1
-12,$,1,1
-28,$,1,1
40,$,1,1
53,$,1,1
-18,$,1,1
-76,$,1,1
-25,$,1,1
85,$,1,1
-18,$,1,1
-28,$,1,1
66,$,1,1
44,$,1,1
-46,$,1,1
10,$,1,1
-79,$,1,1
-6,$,1,1
-6,$,1,1
-69,$,1,1
66,$,1,1
-5,$,1,1
-2,$,1,1
9,$,1,1
67,$,1,1
27,$,1,1
-76,$,1,1
-97,$,1,1
-49,$,1,1
-74,$,1,1
70,$,1,1
67,$,1,1
-29,$,1,1
10,$,1,1
-17,$,1,1
51,$,1,1
-92,$,1,1
87,$,1,1
38,$,1,1
-65,$,1,1
12,$,1,1
-13,$,1,1
-52,$,1,1
68,$,1,1
-52,$,1,1
89,$,1,1
22,$,1,1
87,$,1,1
62,$,1,1
-57,$,1,1
38,$,1,1
-10,$,1,1
96,$,1,1
68,$,1,1
35,$,1,1
50,$,1,1
-97,$,1,1
87,$,1,1
-6,$,1,1
-65,$,1,1
-74,$,1,1
51,$,1,1
-18,$,1,1
16,$,1,1
38,$,1,1
49,$,1,1
-10,$,1,1
-15,$,1,1
-29,$,1,1
24,$,1,1
67,$,1,1
-15,$,1,1
-25,$,1,1
-15,$,1,1
43,$,1,1
67,$,1,1
-2,$,1,1
-39,$,1,1
68,$,1,1
62,$,1,1
-2,$,1,1
-52,$,1,1
25,$,1,1
5,$,1,1
10,$,1,1
-92,$,1,1
-73,$,1,1
76,$,1,1
40,$,1,1
66,$,1,1
44,$,1,1
-25,$,1,1
-5,$,1,1
-18,$,1,1
-6,$,1,1
62,$,1,1
-6,$,1,1
38,$,1,1
22,$,1,1
-65,$,1,1
9,$,1,1
22,$,1,1
-69,$,1,1
35,$,1,1
89,$,1,1
50,$,1,1
89,$,1,1
5,$,1,1
16,$,1,1
10,$,1,1
27,$,1,1
-25,$,1,1
22,$,1,1
-79,$,1,1
14,$,1,1
66,$,1,1
7,$,1,1
43,$,1,1
68,$,1,1
-5,$,1,1
-2,$,1,1
16,$,1,1
70,$,1,1
81,$,1,1
9,$,1,1
-29,$,1,1
76,$,1,1
5,$,1,1
-29,$,1,1
25,$,1,1
40,$,1,1
49,$,1,1
-73,$,1,1
9,$,1,1
-46,$,1,1
62,$,1,1
-17,$,1,1
-6,$,1,1
-92,$,1,1
-29,$,1,1
-63,$,1,1
79,$,1,1
-12,$,1,1
5,$,1,1
-74,$,1,1
-69,$,1,1
-63,$,1,1
29,$,1,1
85,$,1,1
-97,$,1,1
-57,$,1,1
-6,$,1,1
-46,$,1,1
62,$,1,1
38,$,1,1
-10,$,1,1
35,$,1,1
-28,$,1,1
43,$,1,1
96,$,1,1
-57,$,1,1
-76,$,1,1
-25,$,1,1
-74,$,1,1
-97,$,1,1
25,$,1,1
-46,$,1,1
-92,$,1,1
66,$,1,1
76,$,1,1
