X,Y,extra,nesting,num_operands
8,8,no,1,1
3,3,no,1,1
0,0,no,1,1
4,4,no,1,1
5,5,no,1,1
9,9,no,1,1
1,1,no,1,1
2,2,no,1,1
[MIN82],2,no,1,2
[SM81],9,no,1,2
[MAX50],5,no,1,2
[MIN88],8,no,1,2
[SM01],1,no,1,2
[MIN04],0,no,1,2
[SM03],3,no,1,2
[MIN49],4,no,1,2
[MIN30],0,no,1,2
[MIN31],1,no,1,2
[MIN89],8,no,1,2
[SM37],0,no,1,2
[MAX13],3,no,1,2
[MAX67],7,no,1,2
[MIN19],1,no,1,2
[SM36],9,no,1,2
[MIN58],5,no,1,2
[MIN51],1,no,1,2
[SM19],0,no,1,2
[MAX79],9,no,1,2
[MIN11],1,no,1,2
[SM31],4,no,1,2
[MIN85],5,no,1,2
[MIN78],7,no,1,2
[SM83],1,no,1,2
[MIN18],1,no,1,2
[SM68],4,no,1,2
[MAX77],7,no,1,2
[MIN41],1,no,1,2
[MAX20],2,no,1,2
[SM99],8,no,1,2
[MIN55],5,no,1,2
[MAX46],6,no,1,2
[MIN61],1,no,1,2
[MAX40],4,no,1,2
[SM59],4,no,1,2
[SM94],3,no,1,2
[MAX17],7,no,1,2
[MAX56],6,no,1,2
[SM34],7,no,1,2
[MAX58],8,no,1,2
[MAX23],3,no,1,2
[MAX66],6,no,1,2
[MAX14],4,no,1,2
[SM54],9,no,1,2
[MIN90],0,no,1,2
[SM45],9,no,1,2
[SM40],4,no,1,2
[SM38],1,no,1,2
[MAX22],2,no,1,2
[MIN83],3,no,1,2
[MAX53],5,no,1,2
[SM26],8,no,1,2
[MAX24],4,no,1,2
[MIN76],6,no,1,2
[MIN10],0,no,1,2
[MAX05],5,no,1,2
[SM87],5,no,1,2
[MAX02],2,no,1,2
[SM07],7,no,1,2
[SM65],1,no,1,2
[MAX25],5,no,1,2
[SM88],6,no,1,2
[MIN81],1,no,1,2
[MAX95],9,no,1,2
[MIN22],2,no,1,2
[MAX86],8,no,1,2
[MIN79],7,no,1,2
[MAX52],5,no,1,2
[MAX75],7,no,1,2
[SM04],4,no,1,2
[SM16],7,no,1,2
[MIN36],3,no,1,2
[MIN14],1,no,1,2
[MAX96],9,no,1,2
[MAX60],6,no,1,2
[MIN50],0,no,1,2
[MAX82],8,no,1,2
[SM51],6,no,1,2
[MAX59],9,no,1,2
[MIN72],2,no,1,2
[SM22],4,no,1,2
[SM17],8,no,1,2
[SM73],0,no,1,2
[SM33],6,no,1,2
[SM77],4,no,1,2
[MIN56],5,no,1,2
[SM47],1,no,1,2
[MIN24],2,no,1,2
[MIN63],3,no,1,2
[MAX36],6,no,1,2
[MAX87],8,no,1,2
[SM50],5,no,1,2
[SM13],4,no,1,2
[SM72],9,no,1,2
[SM53],8,no,1,2
[MAX07],7,no,1,2
[MIN34],3,no,1,2
[SM84],2,no,1,2
[MIN92],2,no,1,2
[MAX32],3,no,1,2
[MAX04],4,no,1,2
[MAX35],5,no,1,2
[MIN03],0,no,1,2
[MIN40],0,no,1,2
[MAX42],4,no,1,2
[MAX44],4,no,1,2
[SM09],9,no,1,2
[MAX33],3,no,1,2
[SM44],8,no,1,2
[SM08],8,no,1,2
[SM49],3,no,1,2
[SM61],7,no,1,2
[MAX00],0,no,1,2
[SM79],6,no,1,2
[MAX38],8,no,1,2
[MAX80],8,no,1,2
[MAX18],8,no,1,2
[MAX98],9,no,1,2
[MIN77],7,no,1,2
[MIN91],1,no,1,2
[MIN87],7,no,1,2
[SM76],3,no,1,2
[MIN70],0,no,1,2
[MAX85],8,no,1,2
[MIN66],6,no,1,2
[MAX73],7,no,1,2
[MIN20],0,no,1,2
[MAX83],8,no,1,2
[MAX43],4,no,1,2
[MAX54],5,no,1,2
[MAX94],9,no,1,2
[MIN97],7,no,1,2
[SM69],5,no,1,2
[SM00],0,no,1,2
[SM21],3,no,1,2
[SM90],9,no,1,2
[MIN64],4,no,1,2
[MAX68],8,no,1,2
[MIN52],2,no,1,2
[MAX39],9,no,1,2
[SM82],0,no,1,2
[MIN45],4,no,1,2
[SM27],9,no,1,2
[MIN46],4,no,1,2
[MIN75],5,no,1,2
[SM06],6,no,1,2
[MAX84],8,no,1,2
[MIN12],1,no,1,2
[MAX91],9,no,1,2
[SM35],8,no,1,2
[MIN44],4,no,1,2
[SM30],3,no,1,2
[MIN33],3,no,1,2
[SM74],1,no,1,2
[SM67],3,no,1,2
[SM55],0,no,1,2
[MAX55],5,no,1,2
[SM56],1,no,1,2
[SM12],3,no,1,2
[SM52],7,no,1,2
[MIN59],5,no,1,2
[SM63],9,no,1,2
[MAX78],8,no,1,2
[MAX93],9,no,1,2
[SM29],1,no,1,2
[MAX70],7,no,1,2
[MAX48],8,no,1,2
[MIN06],0,no,1,2
[MIN98],8,no,1,2
[MIN67],6,no,1,2
[MIN01],0,no,1,2
[MAX72],7,no,1,2
[MAX09],9,no,1,2
[SM10],1,no,1,2
[MIN25],2,no,1,2
[MIN86],6,no,1,2
[SM39],2,no,1,2
[MAX99],9,no,1,2
[MAX74],7,no,1,2
[SM85],3,no,1,2
[MIN95],5,no,1,2
[MAX47],7,no,1,2
[MAX97],9,no,1,2
[MAX01],1,no,1,2
[SM48],2,no,1,2
[MAX27],7,no,1,2
[MIN54],4,no,1,2
[MIN62],2,no,1,2
[MIN93],3,no,1,2
[MAX81],8,no,1,2
[MIN74],4,no,1,2
[MAX19],9,no,1,2
[SM25],7,no,1,2
[MIN39],3,no,1,2
[MAX63],6,no,1,2
[MAX45],5,no,1,2
[MIN27],2,no,1,2
[SM57],2,no,1,2
[MIN17],1,no,1,2
[MIN21],1,no,1,2
[MAX12],2,no,1,2
[MIN05],0,no,1,2
[MIN53],3,no,1,2
[MIN47],4,no,1,2
[SM97],6,no,1,2
[MAX71],7,no,1,2
[MIN60],0,no,1,2
[MIN09],0,no,1,2
[MIN73],3,no,1,2
[SM14],5,no,1,2
[MAX29],9,no,1,2
[SM05],5,no,1,2
[MAX88],8,no,1,2
[MAX64],6,no,1,2
[MIN94],4,no,1,2
[MAX57],7,no,1,2
[SM60],6,no,1,2
[SM43],7,no,1,2
[SM46],0,no,1,2
[MIN48],4,no,1,2
[MAX92],9,no,1,2
[MAX51],5,no,1,2
[SM28],0,no,1,2
[SM86],4,no,1,2
[MIN99],9,no,1,2
[SM78],5,no,1,2
[SM92],1,no,1,2
[SM20],2,no,1,2
[MIN69],6,no,1,2
[MAX16],6,no,1,2
[MAX90],9,no,1,2
[SM41],5,no,1,2
[MIN42],2,no,1,2
[SM15],6,no,1,2
