X,Y,extra,nesting,num_operands
8,8,no,1,1
3,3,no,1,1
0,0,no,1,1
4,4,no,1,1
5,5,no,1,1
9,9,no,1,1
1,1,no,1,1
2,2,no,1,1
[MIN82],[MIN82],no,1,2
[SM81],[SM81],no,1,2
[MAX50],[MAX50],no,1,2
[MIN88],[MIN88],no,1,2
[SM01],[SM01],no,1,2
[MIN04],[MIN04],no,1,2
[SM03],[SM03],no,1,2
[MIN49],[MIN49],no,1,2
[MIN30],[MIN30],no,1,2
[MIN31],[MIN31],no,1,2
[MIN89],[MIN89],no,1,2
[SM37],[SM37],no,1,2
[MAX13],[MAX13],no,1,2
[MAX67],[MAX67],no,1,2
[MIN19],[MIN19],no,1,2
[SM36],[SM36],no,1,2
[MIN58],[MIN58],no,1,2
[MIN51],[MIN51],no,1,2
[SM19],[SM19],no,1,2
[MAX79],[MAX79],no,1,2
[MIN11],[MIN11],no,1,2
[SM31],[SM31],no,1,2
[MIN85],[MIN85],no,1,2
[MIN78],[MIN78],no,1,2
[SM83],[SM83],no,1,2
[MIN18],[MIN18],no,1,2
[SM68],[SM68],no,1,2
[MAX77],[MAX77],no,1,2
[MIN41],[MIN41],no,1,2
[MAX20],[MAX20],no,1,2
[SM99],[SM99],no,1,2
[MIN55],[MIN55],no,1,2
[MAX46],[MAX46],no,1,2
[MIN61],[MIN61],no,1,2
[MAX40],[MAX40],no,1,2
[SM59],[SM59],no,1,2
[SM94],[SM94],no,1,2
[MAX17],[MAX17],no,1,2
[MAX56],[MAX56],no,1,2
[SM34],[SM34],no,1,2
[MAX58],[MAX58],no,1,2
[MAX23],[MAX23],no,1,2
[MAX66],[MAX66],no,1,2
[MAX14],[MAX14],no,1,2
[SM54],[SM54],no,1,2
[MIN90],[MIN90],no,1,2
[SM45],[SM45],no,1,2
[SM40],[SM40],no,1,2
[SM38],[SM38],no,1,2
[MAX22],[MAX22],no,1,2
[MIN83],[MIN83],no,1,2
[MAX53],[MAX53],no,1,2
[SM26],[SM26],no,1,2
[MAX24],[MAX24],no,1,2
[MIN76],[MIN76],no,1,2
[MIN10],[MIN10],no,1,2
[MAX05],[MAX05],no,1,2
[SM87],[SM87],no,1,2
[MAX02],[MAX02],no,1,2
[SM07],[SM07],no,1,2
[SM65],[SM65],no,1,2
[MAX25],[MAX25],no,1,2
[SM88],[SM88],no,1,2
[MIN81],[MIN81],no,1,2
[MAX95],[MAX95],no,1,2
[MIN22],[MIN22],no,1,2
[MAX86],[MAX86],no,1,2
[MIN79],[MIN79],no,1,2
[MAX52],[MAX52],no,1,2
[MAX75],[MAX75],no,1,2
[SM04],[SM04],no,1,2
[SM16],[SM16],no,1,2
[MIN36],[MIN36],no,1,2
[MIN14],[MIN14],no,1,2
[MAX96],[MAX96],no,1,2
[MAX60],[MAX60],no,1,2
[MIN50],[MIN50],no,1,2
[MAX82],[MAX82],no,1,2
[SM51],[SM51],no,1,2
[MAX59],[MAX59],no,1,2
[MIN72],[MIN72],no,1,2
[SM22],[SM22],no,1,2
[SM17],[SM17],no,1,2
[SM73],[SM73],no,1,2
[SM33],[SM33],no,1,2
[SM77],[SM77],no,1,2
[MIN56],[MIN56],no,1,2
[SM47],[SM47],no,1,2
[MIN24],[MIN24],no,1,2
[MIN63],[MIN63],no,1,2
[MAX36],[MAX36],no,1,2
[MAX87],[MAX87],no,1,2
[SM50],[SM50],no,1,2
[SM13],[SM13],no,1,2
[SM72],[SM72],no,1,2
[SM53],[SM53],no,1,2
[MAX07],[MAX07],no,1,2
[MIN34],[MIN34],no,1,2
[SM84],[SM84],no,1,2
[MIN92],[MIN92],no,1,2
[MAX32],[MAX32],no,1,2
[MAX04],[MAX04],no,1,2
[MAX35],[MAX35],no,1,2
[MIN03],[MIN03],no,1,2
[MIN40],[MIN40],no,1,2
[MAX42],[MAX42],no,1,2
[MAX44],[MAX44],no,1,2
[SM09],[SM09],no,1,2
[MAX33],[MAX33],no,1,2
[SM44],[SM44],no,1,2
[SM08],[SM08],no,1,2
[SM49],[SM49],no,1,2
[SM61],[SM61],no,1,2
[MAX00],[MAX00],no,1,2
[SM79],[SM79],no,1,2
[MAX38],[MAX38],no,1,2
[MAX80],[MAX80],no,1,2
[MAX18],[MAX18],no,1,2
[MAX98],[MAX98],no,1,2
[MIN77],[MIN77],no,1,2
[MIN91],[MIN91],no,1,2
[MIN87],[MIN87],no,1,2
[SM76],[SM76],no,1,2
[MIN70],[MIN70],no,1,2
[MAX85],[MAX85],no,1,2
[MIN66],[MIN66],no,1,2
[MAX73],[MAX73],no,1,2
[MIN20],[MIN20],no,1,2
[MAX83],[MAX83],no,1,2
[MAX43],[MAX43],no,1,2
[MAX54],[MAX54],no,1,2
[MAX94],[MAX94],no,1,2
[MIN97],[MIN97],no,1,2
[SM69],[SM69],no,1,2
[SM00],[SM00],no,1,2
[SM21],[SM21],no,1,2
[SM90],[SM90],no,1,2
[MIN64],[MIN64],no,1,2
[MAX68],[MAX68],no,1,2
[MIN52],[MIN52],no,1,2
[MAX39],[MAX39],no,1,2
[SM82],[SM82],no,1,2
[MIN45],[MIN45],no,1,2
[SM27],[SM27],no,1,2
[MIN46],[MIN46],no,1,2
[MIN75],[MIN75],no,1,2
[SM06],[SM06],no,1,2
[MAX84],[MAX84],no,1,2
[MIN12],[MIN12],no,1,2
[MAX91],[MAX91],no,1,2
[SM35],[SM35],no,1,2
[MIN44],[MIN44],no,1,2
[SM30],[SM30],no,1,2
[MIN33],[MIN33],no,1,2
[SM74],[SM74],no,1,2
[SM67],[SM67],no,1,2
[SM55],[SM55],no,1,2
[MAX55],[MAX55],no,1,2
[SM56],[SM56],no,1,2
[SM12],[SM12],no,1,2
[SM52],[SM52],no,1,2
[MIN59],[MIN59],no,1,2
[SM63],[SM63],no,1,2
[MAX78],[MAX78],no,1,2
[MAX93],[MAX93],no,1,2
[SM29],[SM29],no,1,2
[MAX70],[MAX70],no,1,2
[MAX48],[MAX48],no,1,2
[MIN06],[MIN06],no,1,2
[MIN98],[MIN98],no,1,2
[MIN67],[MIN67],no,1,2
[MIN01],[MIN01],no,1,2
[MAX72],[MAX72],no,1,2
[MAX09],[MAX09],no,1,2
[SM10],[SM10],no,1,2
[MIN25],[MIN25],no,1,2
[MIN86],[MIN86],no,1,2
[SM39],[SM39],no,1,2
[MAX99],[MAX99],no,1,2
[MAX74],[MAX74],no,1,2
[SM85],[SM85],no,1,2
[MIN95],[MIN95],no,1,2
[MAX47],[MAX47],no,1,2
[MAX97],[MAX97],no,1,2
[MAX01],[MAX01],no,1,2
